Order ID,Order Date,Customer Name,Segment,Country,City,State,Region,Category,Sub-Category,Sales,Quantity,Discount,Profit,Year,Month,Month Name,Day Name
CA-2017-114412,2017-04-15,Andrew Allen,Consumer,United States,Concord,North Carolina,South,Office Supplies,Paper,15.552,3,0.2,5.4432,2017,4,April,Saturday
CA-2016-161389,2016-12-05,Irene Maddox,Consumer,United States,Seattle,Washington,West,Office Supplies,Binders,407.976,3,0.2,132.5922,2016,12,December,Monday
US-2015-118983,2015-11-22,Harold Pawlan,Home Office,United States,Fort Worth,Texas,Central,Office Supplies,Appliances,68.81,5,0.8,-123.858,2015,11,November,Sunday
US-2015-118983,2015-11-22,Harold Pawlan,Home Office,United States,Fort Worth,Texas,Central,Office Supplies,Binders,2.544,3,0.8,-3.816,2015,11,November,Sunday
CA-2014-105893,2014-11-11,Pete Kriz,Consumer,United States,Madison,Wisconsin,Central,Office Supplies,Storage,665.88,6,0.0,13.3176,2014,11,November,Tuesday
CA-2014-167164,2014-05-13,Alejandro Grove,Consumer,United States,West Jordan,Utah,West,Office Supplies,Storage,55.5,2,0.0,9.99,2014,5,May,Tuesday
CA-2014-143336,2014-08-27,Zuschuss Donatelli,Consumer,United States,San Francisco,California,West,Office Supplies,Art,8.56,2,0.0,2.4824,2014,8,August,Wednesday
CA-2014-143336,2014-08-27,Zuschuss Donatelli,Consumer,United States,San Francisco,California,West,Technology,Phones,213.48,3,0.2,16.011,2014,8,August,Wednesday
CA-2014-143336,2014-08-27,Zuschuss Donatelli,Consumer,United States,San Francisco,California,West,Office Supplies,Binders,22.72,4,0.2,7.384,2014,8,August,Wednesday
CA-2016-137330,2016-12-09,Ken Black,Corporate,United States,Fremont,Nebraska,Central,Office Supplies,Art,19.46,7,0.0,5.0596,2016,12,December,Friday
CA-2016-137330,2016-12-09,Ken Black,Corporate,United States,Fremont,Nebraska,Central,Office Supplies,Appliances,60.34,7,0.0,15.6884,2016,12,December,Friday
US-2017-156909,2017-07-16,Sandra Flanagan,Consumer,United States,Philadelphia,Pennsylvania,East,Furniture,Chairs,71.372,2,0.3,-1.0196,2017,7,July,Sunday
CA-2015-106320,2015-09-25,Emily Burns,Consumer,United States,Orem,Utah,West,Furniture,Tables,1044.63,3,0.0,240.2649,2015,9,September,Friday
CA-2016-121755,2016-01-16,Eric Hoffmann,Consumer,United States,Los Angeles,California,West,Office Supplies,Binders,11.648,2,0.2,4.2224,2016,1,January,Saturday
CA-2016-121755,2016-01-16,Eric Hoffmann,Consumer,United States,Los Angeles,California,West,Technology,Accessories,90.57,3,0.0,11.7741,2016,1,January,Saturday
US-2015-150630,2015-09-17,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,East,Furniture,Bookcases,3083.43,7,0.5,-1665.0522,2015,9,September,Thursday
US-2015-150630,2015-09-17,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,East,Office Supplies,Binders,9.618,2,0.7,-7.0532,2015,9,September,Thursday
US-2015-150630,2015-09-17,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,East,Furniture,Furnishings,124.2,3,0.2,15.525,2015,9,September,Thursday
US-2015-150630,2015-09-17,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,East,Office Supplies,Envelopes,3.264,2,0.2,1.1016,2015,9,September,Thursday
US-2015-150630,2015-09-17,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,East,Office Supplies,Art,86.304,6,0.2,9.7092,2015,9,September,Thursday
US-2015-150630,2015-09-17,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,East,Office Supplies,Binders,6.858,6,0.7,-5.715,2015,9,September,Thursday
US-2015-150630,2015-09-17,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,East,Office Supplies,Art,15.76,2,0.2,3.546,2015,9,September,Thursday
CA-2017-107727,2017-10-19,Matt Abelman,Home Office,United States,Houston,Texas,Central,Office Supplies,Paper,29.472,3,0.2,9.9468,2017,10,October,Thursday
CA-2016-117590,2016-12-08,Gene Hale,Corporate,United States,Richardson,Texas,Central,Technology,Phones,1097.544,7,0.2,123.4737,2016,12,December,Thursday
CA-2016-117590,2016-12-08,Gene Hale,Corporate,United States,Richardson,Texas,Central,Furniture,Furnishings,190.92,5,0.6,-147.963,2016,12,December,Thursday
CA-2015-117415,2015-12-27,Steve Nguyen,Home Office,United States,Houston,Texas,Central,Office Supplies,Envelopes,113.328,9,0.2,35.415,2015,12,December,Sunday
CA-2015-117415,2015-12-27,Steve Nguyen,Home Office,United States,Houston,Texas,Central,Furniture,Bookcases,532.3992,3,0.32,-46.9764,2015,12,December,Sunday
CA-2015-117415,2015-12-27,Steve Nguyen,Home Office,United States,Houston,Texas,Central,Furniture,Chairs,212.058,3,0.3,-15.147,2015,12,December,Sunday
CA-2015-117415,2015-12-27,Steve Nguyen,Home Office,United States,Houston,Texas,Central,Technology,Phones,371.168,4,0.2,41.7564,2015,12,December,Sunday
CA-2017-120999,2017-09-10,Linda Cazamias,Corporate,United States,Naperville,Illinois,Central,Technology,Phones,147.168,4,0.2,16.5564,2017,9,September,Sunday
CA-2016-101343,2016-07-17,Ruben Ausman,Corporate,United States,Los Angeles,California,West,Office Supplies,Storage,77.88,2,0.0,3.894,2016,7,July,Sunday
CA-2017-139619,2017-09-19,Erin Smith,Corporate,United States,Melbourne,Florida,South,Office Supplies,Storage,95.616,2,0.2,9.5616,2017,9,September,Tuesday
CA-2016-118255,2016-03-11,Odella Nelson,Corporate,United States,Eagan,Minnesota,Central,Technology,Accessories,45.98,2,0.0,19.7714,2016,3,March,Friday
CA-2016-118255,2016-03-11,Odella Nelson,Corporate,United States,Eagan,Minnesota,Central,Office Supplies,Binders,17.46,2,0.0,8.2062,2016,3,March,Friday
CA-2014-146703,2014-10-20,Patrick O'Donnell,Consumer,United States,Westland,Michigan,Central,Office Supplies,Storage,211.96,4,0.0,8.4784,2014,10,October,Monday
CA-2016-169194,2016-06-20,Lena Hernandez,Consumer,United States,Dover,Delaware,East,Technology,Accessories,45.0,3,0.0,4.95,2016,6,June,Monday
CA-2016-169194,2016-06-20,Lena Hernandez,Consumer,United States,Dover,Delaware,East,Technology,Phones,21.8,2,0.0,6.104,2016,6,June,Monday
CA-2015-115742,2015-04-18,Darren Powers,Consumer,United States,New Albany,Indiana,Central,Office Supplies,Binders,38.22,6,0.0,17.9634,2015,4,April,Saturday
CA-2015-115742,2015-04-18,Darren Powers,Consumer,United States,New Albany,Indiana,Central,Office Supplies,Labels,75.18,6,0.0,35.3346,2015,4,April,Saturday
CA-2015-115742,2015-04-18,Darren Powers,Consumer,United States,New Albany,Indiana,Central,Furniture,Furnishings,6.16,2,0.0,2.9568,2015,4,April,Saturday
CA-2015-115742,2015-04-18,Darren Powers,Consumer,United States,New Albany,Indiana,Central,Furniture,Chairs,89.99,1,0.0,17.0981,2015,4,April,Saturday
CA-2016-105816,2016-12-11,Janet Molinari,Corporate,United States,New York City,New York,East,Office Supplies,Fasteners,15.26,7,0.0,6.2566,2016,12,December,Sunday
CA-2016-105816,2016-12-11,Janet Molinari,Corporate,United States,New York City,New York,East,Technology,Phones,1029.95,5,0.0,298.6855,2016,12,December,Sunday
CA-2016-111682,2016-06-17,Ted Butterfield,Consumer,United States,Troy,New York,East,Office Supplies,Storage,208.56,6,0.0,52.14,2016,6,June,Friday
CA-2016-111682,2016-06-17,Ted Butterfield,Consumer,United States,Troy,New York,East,Office Supplies,Paper,32.4,5,0.0,15.552,2016,6,June,Friday
CA-2016-111682,2016-06-17,Ted Butterfield,Consumer,United States,Troy,New York,East,Furniture,Chairs,319.41,5,0.1,7.098,2016,6,June,Friday
CA-2016-111682,2016-06-17,Ted Butterfield,Consumer,United States,Troy,New York,East,Office Supplies,Paper,14.56,2,0.0,6.9888,2016,6,June,Friday
CA-2016-111682,2016-06-17,Ted Butterfield,Consumer,United States,Troy,New York,East,Technology,Accessories,30.0,2,0.0,3.3,2016,6,June,Friday
CA-2016-111682,2016-06-17,Ted Butterfield,Consumer,United States,Troy,New York,East,Office Supplies,Binders,48.48,4,0.2,16.362,2016,6,June,Friday
CA-2016-111682,2016-06-17,Ted Butterfield,Consumer,United States,Troy,New York,East,Office Supplies,Art,1.68,1,0.0,0.84,2016,6,June,Friday
CA-2015-135545,2015-11-24,Kunst Miller,Consumer,United States,Los Angeles,California,West,Technology,Accessories,13.98,2,0.0,6.1512,2015,11,November,Tuesday
CA-2015-135545,2015-11-24,Kunst Miller,Consumer,United States,Los Angeles,California,West,Office Supplies,Binders,25.824,6,0.2,9.3612,2015,11,November,Tuesday
CA-2015-135545,2015-11-24,Kunst Miller,Consumer,United States,Los Angeles,California,West,Office Supplies,Paper,146.73,3,0.0,68.9631,2015,11,November,Tuesday
CA-2015-135545,2015-11-24,Kunst Miller,Consumer,United States,Los Angeles,California,West,Furniture,Furnishings,79.76,4,0.0,22.3328,2015,11,November,Tuesday
US-2015-164175,2015-04-30,Paul Stevenson,Home Office,United States,Chicago,Illinois,Central,Furniture,Chairs,213.115,5,0.3,-15.2225,2015,4,April,Thursday
CA-2014-106376,2014-12-05,Brendan Sweed,Corporate,United States,Gilbert,Arizona,West,Office Supplies,Art,1113.024,8,0.2,111.3024,2014,12,December,Friday
CA-2014-106376,2014-12-05,Brendan Sweed,Corporate,United States,Gilbert,Arizona,West,Technology,Phones,167.968,4,0.2,62.988,2014,12,December,Friday
CA-2016-119823,2016-06-04,Karen Daniels,Consumer,United States,Springfield,Virginia,South,Office Supplies,Paper,75.88,2,0.0,35.6636,2016,6,June,Saturday
CA-2016-106075,2016-09-18,Henry MacAllister,Consumer,United States,New York City,New York,East,Office Supplies,Binders,4.616,1,0.2,1.731,2016,9,September,Sunday
CA-2017-114440,2017-09-14,Tracy Blumstein,Consumer,United States,Jackson,Michigan,Central,Office Supplies,Paper,19.05,3,0.0,8.763,2017,9,September,Thursday
US-2015-134026,2015-04-26,Joel Eaton,Consumer,United States,Memphis,Tennessee,South,Furniture,Chairs,831.936,8,0.2,-114.3912,2015,4,April,Sunday
US-2015-134026,2015-04-26,Joel Eaton,Consumer,United States,Memphis,Tennessee,South,Furniture,Furnishings,97.04,2,0.2,1.213,2015,4,April,Sunday
US-2015-134026,2015-04-26,Joel Eaton,Consumer,United States,Memphis,Tennessee,South,Office Supplies,Storage,72.784,1,0.2,-18.196,2015,4,April,Sunday
US-2017-118038,2017-12-09,Ken Brennan,Corporate,United States,Houston,Texas,Central,Office Supplies,Binders,1.248,3,0.8,-1.9344,2017,12,December,Saturday
US-2017-118038,2017-12-09,Ken Brennan,Corporate,United States,Houston,Texas,Central,Furniture,Furnishings,9.708,3,0.6,-5.8248,2017,12,December,Saturday
US-2017-118038,2017-12-09,Ken Brennan,Corporate,United States,Houston,Texas,Central,Office Supplies,Storage,27.24,3,0.2,2.724,2017,12,December,Saturday
US-2014-147606,2014-11-26,Joel Eaton,Consumer,United States,Houston,Texas,Central,Furniture,Furnishings,19.3,5,0.6,-14.475,2014,11,November,Wednesday
CA-2016-127208,2016-06-12,Stewart Carmichael,Corporate,United States,Decatur,Alabama,South,Office Supplies,Appliances,208.16,1,0.0,56.2032,2016,6,June,Sunday
CA-2016-127208,2016-06-12,Stewart Carmichael,Corporate,United States,Decatur,Alabama,South,Office Supplies,Binders,16.74,3,0.0,8.0352,2016,6,June,Sunday
CA-2014-139451,2014-10-12,Duane Noonan,Consumer,United States,San Francisco,California,West,Office Supplies,Art,14.9,5,0.0,4.172,2014,10,October,Sunday
CA-2014-139451,2014-10-12,Duane Noonan,Consumer,United States,San Francisco,California,West,Office Supplies,Storage,21.39,1,0.0,6.2031,2014,10,October,Sunday
CA-2015-149734,2015-09-03,Julie Creighton,Corporate,United States,Durham,North Carolina,South,Office Supplies,Envelopes,200.984,7,0.2,62.8075,2015,9,September,Thursday
US-2017-119662,2017-11-13,Christopher Schild,Home Office,United States,Chicago,Illinois,Central,Office Supplies,Storage,230.376,3,0.2,-48.9549,2017,11,November,Monday
CA-2017-140088,2017-05-28,Patrick O'Donnell,Consumer,United States,Columbia,South Carolina,South,Furniture,Chairs,301.96,2,0.0,33.2156,2017,5,May,Sunday
CA-2017-155558,2017-10-26,Paul Gonzalez,Consumer,United States,Rochester,Minnesota,Central,Technology,Accessories,19.99,1,0.0,6.7966,2017,10,October,Thursday
CA-2017-155558,2017-10-26,Paul Gonzalez,Consumer,United States,Rochester,Minnesota,Central,Office Supplies,Labels,6.16,2,0.0,2.9568,2017,10,October,Thursday
CA-2016-159695,2016-04-05,Gary Mitchum,Home Office,United States,Houston,Texas,Central,Office Supplies,Storage,158.368,7,0.2,13.8572,2016,4,April,Tuesday
CA-2016-109806,2016-09-17,Jim Sink,Corporate,United States,Los Angeles,California,West,Office Supplies,Art,20.1,3,0.0,6.633,2016,9,September,Saturday
CA-2016-109806,2016-09-17,Jim Sink,Corporate,United States,Los Angeles,California,West,Technology,Phones,73.584,2,0.2,8.2782,2016,9,September,Saturday
CA-2016-109806,2016-09-17,Jim Sink,Corporate,United States,Los Angeles,California,West,Office Supplies,Paper,6.48,1,0.0,3.1104,2016,9,September,Saturday
CA-2015-149587,2015-01-31,Karl Braun,Consumer,United States,Minneapolis,Minnesota,Central,Office Supplies,Paper,12.96,2,0.0,6.2208,2015,1,January,Saturday
CA-2015-149587,2015-01-31,Karl Braun,Consumer,United States,Minneapolis,Minnesota,Central,Furniture,Furnishings,53.34,3,0.0,16.5354,2015,1,January,Saturday
CA-2015-149587,2015-01-31,Karl Braun,Consumer,United States,Minneapolis,Minnesota,Central,Office Supplies,Binders,32.96,2,0.0,16.1504,2015,1,January,Saturday
US-2017-109484,2017-11-06,Roger Barcio,Home Office,United States,Portland,Oregon,West,Office Supplies,Binders,5.682,1,0.7,-3.788,2017,11,November,Monday
CA-2017-161018,2017-11-09,Parhena Norris,Home Office,United States,New York City,New York,East,Furniture,Furnishings,96.53,7,0.0,40.5426,2017,11,November,Thursday
CA-2017-157833,2017-06-17,Katherine Ducich,Consumer,United States,San Francisco,California,West,Office Supplies,Binders,51.312,3,0.2,17.9592,2017,6,June,Saturday
CA-2016-149223,2016-09-06,Elpida Rittenbach,Corporate,United States,Saint Paul,Minnesota,Central,Office Supplies,Appliances,77.88,6,0.0,22.5852,2016,9,September,Tuesday
CA-2016-158568,2016-08-29,Rick Bensley,Home Office,United States,Chicago,Illinois,Central,Office Supplies,Paper,64.624,7,0.2,22.6184,2016,8,August,Monday
CA-2016-158568,2016-08-29,Rick Bensley,Home Office,United States,Chicago,Illinois,Central,Technology,Accessories,95.976,3,0.2,-10.7973,2016,8,August,Monday
CA-2016-158568,2016-08-29,Rick Bensley,Home Office,United States,Chicago,Illinois,Central,Office Supplies,Binders,1.788,3,0.8,-3.0396,2016,8,August,Monday
CA-2016-129903,2016-12-01,Gary Zandusky,Consumer,United States,Rochester,Minnesota,Central,Office Supplies,Paper,23.92,4,0.0,11.7208,2016,12,December,Thursday
US-2015-156867,2015-11-13,Lena Cacioppo,Consumer,United States,Aurora,Colorado,West,Technology,Accessories,238.896,6,0.2,-26.8758,2015,11,November,Friday
US-2015-156867,2015-11-13,Lena Cacioppo,Consumer,United States,Aurora,Colorado,West,Furniture,Furnishings,102.36,3,0.2,-3.8385,2015,11,November,Friday
US-2015-156867,2015-11-13,Lena Cacioppo,Consumer,United States,Aurora,Colorado,West,Office Supplies,Binders,36.882,3,0.7,-25.8174,2015,11,November,Friday
CA-2017-119004,2017-11-23,Janet Martin,Consumer,United States,Charlotte,North Carolina,South,Technology,Accessories,74.112,8,0.2,17.6016,2017,11,November,Thursday
CA-2017-119004,2017-11-23,Janet Martin,Consumer,United States,Charlotte,North Carolina,South,Technology,Phones,27.992,1,0.2,2.0994,2017,11,November,Thursday
CA-2017-119004,2017-11-23,Janet Martin,Consumer,United States,Charlotte,North Carolina,South,Office Supplies,Art,3.304,1,0.2,1.0738,2017,11,November,Thursday
CA-2015-129476,2015-10-15,Pete Armstrong,Home Office,United States,Orland Park,Illinois,Central,Technology,Accessories,339.96,5,0.2,67.992,2015,10,October,Thursday
CA-2017-146780,2017-12-25,Cynthia Voltz,Corporate,United States,New York City,New York,East,Furniture,Furnishings,41.96,2,0.0,10.9096,2017,12,December,Monday
CA-2016-128867,2016-11-03,Clay Ludtke,Consumer,United States,Urbandale,Iowa,Central,Office Supplies,Art,75.96,2,0.0,22.788,2016,11,November,Thursday
CA-2016-128867,2016-11-03,Clay Ludtke,Consumer,United States,Urbandale,Iowa,Central,Office Supplies,Binders,27.24,6,0.0,13.3476,2016,11,November,Thursday
CA-2014-115259,2014-08-25,Ryan Crowe,Consumer,United States,Columbus,Ohio,East,Office Supplies,Fasteners,40.096,14,0.2,14.5348,2014,8,August,Monday
CA-2014-115259,2014-08-25,Ryan Crowe,Consumer,United States,Columbus,Ohio,East,Office Supplies,Envelopes,4.72,2,0.2,1.652,2014,8,August,Monday
CA-2014-115259,2014-08-25,Ryan Crowe,Consumer,United States,Columbus,Ohio,East,Office Supplies,Paper,23.976,3,0.2,7.4925,2014,8,August,Monday
CA-2014-115259,2014-08-25,Ryan Crowe,Consumer,United States,Columbus,Ohio,East,Office Supplies,Envelopes,130.464,6,0.2,44.0316,2014,8,August,Monday
CA-2015-110457,2015-03-02,Dave Kipp,Consumer,United States,Seattle,Washington,West,Furniture,Tables,787.53,3,0.0,165.3813,2015,3,March,Monday
US-2015-136476,2015-04-05,Greg Guthrie,Corporate,United States,Bristol,Tennessee,South,Office Supplies,Binders,157.794,1,0.7,-115.7156,2015,4,April,Sunday
CA-2016-103730,2016-06-12,Steven Cartwright,Consumer,United States,Wilmington,Delaware,East,Furniture,Furnishings,47.04,3,0.0,18.3456,2016,6,June,Sunday
CA-2016-103730,2016-06-12,Steven Cartwright,Consumer,United States,Wilmington,Delaware,East,Office Supplies,Binders,30.84,4,0.0,13.878,2016,6,June,Sunday
CA-2016-103730,2016-06-12,Steven Cartwright,Consumer,United States,Wilmington,Delaware,East,Office Supplies,Storage,226.56,6,0.0,63.4368,2016,6,June,Sunday
CA-2016-103730,2016-06-12,Steven Cartwright,Consumer,United States,Wilmington,Delaware,East,Office Supplies,Envelopes,115.02,9,0.0,51.759,2016,6,June,Sunday
CA-2016-103730,2016-06-12,Steven Cartwright,Consumer,United States,Wilmington,Delaware,East,Technology,Phones,68.04,7,0.0,19.7316,2016,6,June,Sunday
US-2014-152030,2014-12-26,Alan Dominguez,Home Office,United States,Houston,Texas,Central,Furniture,Chairs,600.558,3,0.3,-8.5794,2014,12,December,Friday
US-2014-134614,2014-09-20,Philip Fox,Consumer,United States,Bloomington,Illinois,Central,Furniture,Tables,617.7,6,0.5,-407.682,2014,9,September,Saturday
US-2017-107272,2017-11-05,Troy Staebel,Consumer,United States,Phoenix,Arizona,West,Office Supplies,Binders,2.388,2,0.7,-1.8308,2017,11,November,Sunday
US-2017-107272,2017-11-05,Troy Staebel,Consumer,United States,Phoenix,Arizona,West,Office Supplies,Storage,243.992,7,0.2,30.499,2017,11,November,Sunday
US-2016-125969,2016-11-06,Lindsay Shagiari,Home Office,United States,Los Angeles,California,West,Furniture,Chairs,81.424,2,0.2,-9.1602,2016,11,November,Sunday
US-2016-125969,2016-11-06,Lindsay Shagiari,Home Office,United States,Los Angeles,California,West,Furniture,Furnishings,238.56,3,0.0,26.2416,2016,11,November,Sunday
US-2017-164147,2017-02-02,Dorothy Wardle,Corporate,United States,Columbus,Ohio,East,Technology,Phones,59.97,5,0.4,-11.994,2017,2,February,Thursday
US-2017-164147,2017-02-02,Dorothy Wardle,Corporate,United States,Columbus,Ohio,East,Office Supplies,Paper,78.304,2,0.2,29.364,2017,2,February,Thursday
US-2017-164147,2017-02-02,Dorothy Wardle,Corporate,United States,Columbus,Ohio,East,Office Supplies,Fasteners,21.456,9,0.2,6.9732,2017,2,February,Thursday
CA-2016-145583,2016-10-13,Lena Creighton,Consumer,United States,Roseville,California,West,Office Supplies,Paper,20.04,3,0.0,9.6192,2016,10,October,Thursday
CA-2016-145583,2016-10-13,Lena Creighton,Consumer,United States,Roseville,California,West,Office Supplies,Paper,35.44,1,0.0,16.6568,2016,10,October,Thursday
CA-2016-145583,2016-10-13,Lena Creighton,Consumer,United States,Roseville,California,West,Office Supplies,Art,11.52,4,0.0,3.456,2016,10,October,Thursday
CA-2016-145583,2016-10-13,Lena Creighton,Consumer,United States,Roseville,California,West,Office Supplies,Fasteners,4.02,2,0.0,1.9698,2016,10,October,Thursday
CA-2016-145583,2016-10-13,Lena Creighton,Consumer,United States,Roseville,California,West,Office Supplies,Binders,76.176,3,0.2,26.6616,2016,10,October,Thursday
CA-2016-145583,2016-10-13,Lena Creighton,Consumer,United States,Roseville,California,West,Office Supplies,Supplies,65.88,6,0.0,18.4464,2016,10,October,Thursday
CA-2016-145583,2016-10-13,Lena Creighton,Consumer,United States,Roseville,California,West,Furniture,Furnishings,43.12,14,0.0,20.6976,2016,10,October,Thursday
CA-2016-110366,2016-09-05,Jonathan Doherty,Corporate,United States,Philadelphia,Pennsylvania,East,Furniture,Furnishings,82.8,2,0.2,10.35,2016,9,September,Monday
CA-2017-106180,2017-09-18,Sally Hughsby,Corporate,United States,San Francisco,California,West,Office Supplies,Art,8.82,3,0.0,2.3814,2017,9,September,Monday
CA-2017-106180,2017-09-18,Sally Hughsby,Corporate,United States,San Francisco,California,West,Office Supplies,Envelopes,10.86,3,0.0,5.1042,2017,9,September,Monday
CA-2017-106180,2017-09-18,Sally Hughsby,Corporate,United States,San Francisco,California,West,Office Supplies,Paper,143.7,3,0.0,68.976,2017,9,September,Monday
CA-2017-155376,2017-12-22,Sandra Glassco,Consumer,United States,Independence,Missouri,Central,Office Supplies,Appliances,839.43,3,0.0,218.2518,2017,12,December,Friday
CA-2015-110744,2015-09-07,Helen Andreada,Consumer,United States,Pasadena,California,West,Office Supplies,Storage,671.93,7,0.0,20.1579,2015,9,September,Monday
CA-2014-110072,2014-10-22,Maureen Gastineau,Home Office,United States,Newark,Ohio,East,Furniture,Furnishings,93.888,4,0.2,12.9096,2014,10,October,Wednesday
CA-2016-114489,2016-12-05,Justin Ellison,Corporate,United States,Franklin,Wisconsin,Central,Technology,Phones,384.45,11,0.0,103.8015,2016,12,December,Monday
CA-2016-114489,2016-12-05,Justin Ellison,Corporate,United States,Franklin,Wisconsin,Central,Technology,Phones,149.97,3,0.0,5.9988,2016,12,December,Monday
CA-2016-114489,2016-12-05,Justin Ellison,Corporate,United States,Franklin,Wisconsin,Central,Furniture,Chairs,1951.84,8,0.0,585.552,2016,12,December,Monday
CA-2016-114489,2016-12-05,Justin Ellison,Corporate,United States,Franklin,Wisconsin,Central,Office Supplies,Binders,171.55,5,0.0,80.6285,2016,12,December,Monday
CA-2016-158834,2016-03-13,Tamara Willingham,Home Office,United States,Scottsdale,Arizona,West,Office Supplies,Appliances,157.92,5,0.2,17.766,2016,3,March,Sunday
CA-2016-158834,2016-03-13,Tamara Willingham,Home Office,United States,Scottsdale,Arizona,West,Technology,Phones,203.184,2,0.2,15.2388,2016,3,March,Sunday
CA-2015-124919,2015-05-31,Stephanie Phelps,Corporate,United States,San Jose,California,West,Office Supplies,Paper,58.38,7,0.0,26.271,2015,5,May,Sunday
CA-2015-124919,2015-05-31,Stephanie Phelps,Corporate,United States,San Jose,California,West,Office Supplies,Paper,105.52,4,0.0,48.5392,2015,5,May,Sunday
CA-2015-124919,2015-05-31,Stephanie Phelps,Corporate,United States,San Jose,California,West,Office Supplies,Storage,80.88,6,0.0,21.0288,2015,5,May,Sunday
CA-2015-118948,2015-05-28,Neil Knudson,Home Office,United States,Seattle,Washington,West,Office Supplies,Art,6.63,3,0.0,1.7901,2015,5,May,Thursday
CA-2014-104269,2014-03-01,Dave Brooks,Consumer,United States,Seattle,Washington,West,Furniture,Chairs,457.568,2,0.2,51.4764,2014,3,March,Saturday
CA-2016-114104,2016-11-20,Nora Paige,Consumer,United States,Edmond,Oklahoma,Central,Office Supplies,Labels,14.62,2,0.0,6.8714,2016,11,November,Sunday
CA-2016-114104,2016-11-20,Nora Paige,Consumer,United States,Edmond,Oklahoma,Central,Technology,Phones,944.93,7,0.0,236.2325,2016,11,November,Sunday
CA-2016-162733,2016-05-11,Ted Trevino,Consumer,United States,Los Angeles,California,West,Office Supplies,Paper,5.98,1,0.0,2.691,2016,5,May,Wednesday
CA-2015-119697,2015-12-28,Eric Murdock,Consumer,United States,Philadelphia,Pennsylvania,East,Technology,Accessories,54.384,2,0.2,1.3596,2015,12,December,Monday
CA-2016-154508,2016-11-16,Ruben Dartt,Consumer,United States,Carlsbad,New Mexico,West,Office Supplies,Envelopes,28.4,5,0.0,13.348,2016,11,November,Wednesday
CA-2016-113817,2016-11-07,Max Jones,Consumer,United States,Seattle,Washington,West,Office Supplies,Binders,27.68,2,0.2,9.688,2016,11,November,Monday
CA-2014-139892,2014-09-08,Becky Martin,Consumer,United States,San Antonio,Texas,Central,Office Supplies,Art,9.936,3,0.2,2.7324,2014,9,September,Monday
CA-2014-139892,2014-09-08,Becky Martin,Consumer,United States,San Antonio,Texas,Central,Technology,Machines,8159.952,8,0.4,-1359.992,2014,9,September,Monday
CA-2014-139892,2014-09-08,Becky Martin,Consumer,United States,San Antonio,Texas,Central,Office Supplies,Storage,275.928,3,0.2,-58.6347,2014,9,September,Monday
CA-2014-139892,2014-09-08,Becky Martin,Consumer,United States,San Antonio,Texas,Central,Furniture,Chairs,1740.06,9,0.3,-24.858,2014,9,September,Monday
CA-2014-139892,2014-09-08,Becky Martin,Consumer,United States,San Antonio,Texas,Central,Office Supplies,Art,32.064,6,0.2,6.8136,2014,9,September,Monday
